ICD10_diagnosis_code	trait_description	phecode	Inclusion/Exclusion	phenotype
H40.142	Capsular glaucoma with pseudoexfoliation of lens, left eye	365.5	Inclusion	Glaucoma
H40.1420	Capsular glaucoma with pseudoexfoliation of lens, left eye, stage unspecified	365.5	Inclusion	Glaucoma
H40.1421	Capsular glaucoma with pseudoexfoliation of lens, left eye, mild stage	365.5	Inclusion	Glaucoma
H40.1422	Capsular glaucoma with pseudoexfoliation of lens, left eye, moderate stage	365.5	Inclusion	Glaucoma
H40.1423	Capsular glaucoma with pseudoexfoliation of lens, left eye, severe stage	365.5	Inclusion	Glaucoma
H40.1424	Capsular glaucoma with pseudoexfoliation of lens, left eye, indeterminate stage	365.5	Inclusion	Glaucoma
H40.143	Capsular glaucoma with pseudoexfoliation of lens, bilateral	365.5	Inclusion	Glaucoma
H40.1430	Capsular glaucoma with pseudoexfoliation of lens, bilateral, stage unspecified	365.5	Inclusion	Glaucoma
H40.1431	Capsular glaucoma with pseudoexfoliation of lens, bilateral, mild stage	365.5	Inclusion	Glaucoma
H40.1432	Capsular glaucoma with pseudoexfoliation of lens, bilateral, moderate stage	365.5	Inclusion	Glaucoma
H40.1433	Capsular glaucoma with pseudoexfoliation of lens, bilateral, severe stage	365.5	Inclusion	Glaucoma
H40.1434	Capsular glaucoma with pseudoexfoliation of lens, bilateral, indeterminate stage	365.5	Inclusion	Glaucoma
H40.149	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye	365.5	Inclusion	Glaucoma
H40.1490	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, stage unspecified	365.5	Inclusion	Glaucoma
H40.1491	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, mild stage	365.5	Inclusion	Glaucoma
H40.1492	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, moderate stage	365.5	Inclusion	Glaucoma
H40.1493	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, severe stage	365.5	Inclusion	Glaucoma
H40.1494	Capsular glaucoma with pseudoexfoliation of lens, unspecified eye, indeterminate stage	365.5	Inclusion	Glaucoma
H40.15	Residual stage of open-angle glaucoma	365.1	Inclusion	Glaucoma
H40.151	Residual stage of open-angle glaucoma, right eye	365.1	Inclusion	Glaucoma
H40.152	Residual stage of open-angle glaucoma, left eye	365.1	Inclusion	Glaucoma
H40.153	Residual stage of open-angle glaucoma, bilateral	365.1	Inclusion	Glaucoma
H40.159	Residual stage of open-angle glaucoma, unspecified eye	365.1	Inclusion	Glaucoma
H40.2	Primary angle-closure glaucoma	365.2	Inclusion	Glaucoma
H40.20	Unspecified primary angle-closure glaucoma	365.2	Inclusion	Glaucoma
H40.20X0	Unspecified primary angle-closure glaucoma, stage unspecified	365.2	Inclusion	Glaucoma
H40.20X1	Unspecified primary angle-closure glaucoma, mild stage	365.2	Inclusion	Glaucoma
H40.20X2	Unspecified primary angle-closure glaucoma, moderate stage	365.2	Inclusion	Glaucoma
H40.20X3	Unspecified primary angle-closure glaucoma, severe stage	365.2	Inclusion	Glaucoma
H40.20X4	Unspecified primary angle-closure glaucoma, indeterminate stage	365.2	Inclusion	Glaucoma
H40.21	Acute angle-closure glaucoma	365.2	Inclusion	Glaucoma
H40.211	Acute angle-closure glaucoma, right eye	365.2	Inclusion	Glaucoma
H40.212	Acute angle-closure glaucoma, left eye	365.2	Inclusion	Glaucoma
H40.213	Acute angle-closure glaucoma, bilateral	365.2	Inclusion	Glaucoma
H40.219	Acute angle-closure glaucoma, unspecified eye	365.2	Inclusion	Glaucoma
H40.22	Chronic angle-closure glaucoma	365.2	Inclusion	Glaucoma
H40.221	Chronic angle-closure glaucoma, right eye	365.2	Inclusion	Glaucoma
H40.2210	Chronic angle-closure glaucoma, right eye, stage unspecified	365.2	Inclusion	Glaucoma
H40.2211	Chronic angle-closure glaucoma, right eye, mild stage	365.2	Inclusion	Glaucoma
H40.2212	Chronic angle-closure glaucoma, right eye, moderate stage	365.2	Inclusion	Glaucoma
H40.2213	Chronic angle-closure glaucoma, right eye, severe stage	365.2	Inclusion	Glaucoma
H40.2214	Chronic angle-closure glaucoma, right eye, indeterminate stage	365.2	Inclusion	Glaucoma
H40.222	Chronic angle-closure glaucoma, left eye	365.2	Inclusion	Glaucoma
H40.2220	Chronic angle-closure glaucoma, left eye, stage unspecified	365.2	Inclusion	Glaucoma
H40.2221	Chronic angle-closure glaucoma, left eye, mild stage	365.2	Inclusion	Glaucoma
H40.2222	Chronic angle-closure glaucoma, left eye, moderate stage	365.2	Inclusion	Glaucoma
H40.2223	Chronic angle-closure glaucoma, left eye, severe stage	365.2	Inclusion	Glaucoma
H40.2224	Chronic angle-closure glaucoma, left eye, indeterminate stage	365.2	Inclusion	Glaucoma
H40.223	Chronic angle-closure glaucoma, bilateral	365.2	Inclusion	Glaucoma
H40.2230	Chronic angle-closure glaucoma, bilateral, stage unspecified	365.2	Inclusion	Glaucoma
H40.2231	Chronic angle-closure glaucoma, bilateral, mild stage	365.2	Inclusion	Glaucoma
H40.2232	Chronic angle-closure glaucoma, bilateral, moderate stage	365.2	Inclusion	Glaucoma
H40.2233	Chronic angle-closure glaucoma, bilateral, severe stage	365.2	Inclusion	Glaucoma
H40.2234	Chronic angle-closure glaucoma, bilateral, indeterminate stage	365.2	Inclusion	Glaucoma
H40.229	Chronic angle-closure glaucoma, unspecified eye	365.2	Inclusion	Glaucoma
H40.2290	Chronic angle-closure glaucoma, unspecified eye, stage unspecified	365.2	Inclusion	Glaucoma
H40.2291	Chronic angle-closure glaucoma, unspecified eye, mild stage	365.2	Inclusion	Glaucoma
H40.2292	Chronic angle-closure glaucoma, unspecified eye, moderate stage	365.2	Inclusion	Glaucoma
H40.2293	Chronic angle-closure glaucoma, unspecified eye, severe stage	365.2	Inclusion	Glaucoma
H40.2294	Chronic angle-closure glaucoma, unspecified eye, indeterminate stage	365.2	Inclusion	Glaucoma
H40.23	Intermittent angle-closure glaucoma	365.2	Inclusion	Glaucoma
H40.231	Intermittent angle-closure glaucoma, right eye	365.2	Inclusion	Glaucoma
H40.232	Intermittent angle-closure glaucoma, left eye	365.2	Inclusion	Glaucoma
H40.233	Intermittent angle-closure glaucoma, bilateral	365.2	Inclusion	Glaucoma
H40.239	Intermittent angle-closure glaucoma, unspecified eye	365.2	Inclusion	Glaucoma
H40.24	Residual stage of angle-closure glaucoma	365.2	Inclusion	Glaucoma
H40.241	Residual stage of angle-closure glaucoma, right eye	365.2	Inclusion	Glaucoma
H40.242	Residual stage of angle-closure glaucoma, left eye	365.2	Inclusion	Glaucoma
H40.243	Residual stage of angle-closure glaucoma, bilateral	365.2	Inclusion	Glaucoma
H40.249	Residual stage of angle-closure glaucoma, unspecified eye	365.2	Inclusion	Glaucoma
H40.3	Glaucoma secondary to eye trauma	365	Inclusion	Glaucoma
H40.30	Glaucoma secondary to eye trauma, unspecified eye	365	Inclusion	Glaucoma
H40.30X0	Glaucoma secondary to eye trauma, unspecified eye, stage unspecified	365	Inclusion	Glaucoma
H40.30X1	Glaucoma secondary to eye trauma, unspecified eye, mild stage	365	Inclusion	Glaucoma
H40.30X2	Glaucoma secondary to eye trauma, unspecified eye, moderate stage	365	Inclusion	Glaucoma
H40.30X3	Glaucoma secondary to eye trauma, unspecified eye, severe stage	365	Inclusion	Glaucoma
H40.30X4	Glaucoma secondary to eye trauma, unspecified eye, indeterminate stage	365	Inclusion	Glaucoma
H40.31	Glaucoma secondary to eye trauma, right eye	365	Inclusion	Glaucoma
H40.31X0	Glaucoma secondary to eye trauma, right eye, stage unspecified	365	Inclusion	Glaucoma
H40.31X1	Glaucoma secondary to eye trauma, right eye, mild stage	365	Inclusion	Glaucoma
H40.31X2	Glaucoma secondary to eye trauma, right eye, moderate stage	365	Inclusion	Glaucoma
H40.31X3	Glaucoma secondary to eye trauma, right eye, severe stage	365	Inclusion	Glaucoma
H40.31X4	Glaucoma secondary to eye trauma, right eye, indeterminate stage	365	Inclusion	Glaucoma
H40.32	Glaucoma secondary to eye trauma, left eye	365	Inclusion	Glaucoma
H40.32X0	Glaucoma secondary to eye trauma, left eye, stage unspecified	365	Inclusion	Glaucoma
H40.32X1	Glaucoma secondary to eye trauma, left eye, mild stage	365	Inclusion	Glaucoma
H40.32X2	Glaucoma secondary to eye trauma, left eye, moderate stage	365	Inclusion	Glaucoma
H40.32X3	Glaucoma secondary to eye trauma, left eye, severe stage	365	Inclusion	Glaucoma
H40.32X4	Glaucoma secondary to eye trauma, left eye, indeterminate stage	365	Inclusion	Glaucoma
H40.33	Glaucoma secondary to eye trauma, bilateral	365	Inclusion	Glaucoma
H40.33X0	Glaucoma secondary to eye trauma, bilateral, stage unspecified	365	Inclusion	Glaucoma
H40.33X1	Glaucoma secondary to eye trauma, bilateral, mild stage	365	Inclusion	Glaucoma
H40.33X2	Glaucoma secondary to eye trauma, bilateral, moderate stage	365	Inclusion	Glaucoma
H40.33X3	Glaucoma secondary to eye trauma, bilateral, severe stage	365	Inclusion	Glaucoma
H40.33X4	Glaucoma secondary to eye trauma, bilateral, indeterminate stage	365	Inclusion	Glaucoma
H40.4	Glaucoma secondary to eye inflammation	365	Inclusion	Glaucoma
H40.40	Glaucoma secondary to eye inflammation, unspecified eye	365	Inclusion	Glaucoma
H40.40X0	Glaucoma secondary to eye inflammation, unspecified eye, stage unspecified	365	Inclusion	Glaucoma
H40.40X1	Glaucoma secondary to eye inflammation, unspecified eye, mild stage	365	Inclusion	Glaucoma
H40.40X2	Glaucoma secondary to eye inflammation, unspecified eye, moderate stage	365	Inclusion	Glaucoma
H40.40X3	Glaucoma secondary to eye inflammation, unspecified eye, severe stage	365	Inclusion	Glaucoma
H40.40X4	Glaucoma secondary to eye inflammation, unspecified eye, indeterminate stage	365	Inclusion	Glaucoma
H40.41	Glaucoma secondary to eye inflammation, right eye	365	Inclusion	Glaucoma
H40.41X0	Glaucoma secondary to eye inflammation, right eye, stage unspecified	365	Inclusion	Glaucoma
H40.41X1	Glaucoma secondary to eye inflammation, right eye, mild stage	365	Inclusion	Glaucoma
H40.41X2	Glaucoma secondary to eye inflammation, right eye, moderate stage	365	Inclusion	Glaucoma
H40.41X3	Glaucoma secondary to eye inflammation, right eye, severe stage	365	Inclusion	Glaucoma
H40.41X4	Glaucoma secondary to eye inflammation, right eye, indeterminate stage	365	Inclusion	Glaucoma
H40.42	Glaucoma secondary to eye inflammation, left eye	365	Inclusion	Glaucoma
H40.42X0	Glaucoma secondary to eye inflammation, left eye, stage unspecified	365	Inclusion	Glaucoma
H40.42X1	Glaucoma secondary to eye inflammation, left eye, mild stage	365	Inclusion	Glaucoma
H40.42X2	Glaucoma secondary to eye inflammation, left eye, moderate stage	365	Inclusion	Glaucoma
H40.42X3	Glaucoma secondary to eye inflammation, left eye, severe stage	365	Inclusion	Glaucoma
H40.42X4	Glaucoma secondary to eye inflammation, left eye, indeterminate stage	365	Inclusion	Glaucoma
H40.43	Glaucoma secondary to eye inflammation, bilateral	365	Inclusion	Glaucoma
H40.43X0	Glaucoma secondary to eye inflammation, bilateral, stage unspecified	365	Inclusion	Glaucoma
H40.43X1	Glaucoma secondary to eye inflammation, bilateral, mild stage	365	Inclusion	Glaucoma
H40.43X2	Glaucoma secondary to eye inflammation, bilateral, moderate stage	365	Inclusion	Glaucoma
H40.43X3	Glaucoma secondary to eye inflammation, bilateral, severe stage	365	Inclusion	Glaucoma
H40.43X4	Glaucoma secondary to eye inflammation, bilateral, indeterminate stage	365	Inclusion	Glaucoma
H40.5	Glaucoma secondary to other eye disorders	365	Inclusion	Glaucoma
H40.50	Glaucoma secondary to other eye disorders, unspecified eye	365	Inclusion	Glaucoma
H40.50X0	Glaucoma secondary to other eye disorders, unspecified eye, stage unspecified	365	Inclusion	Glaucoma
H40.50X1	Glaucoma secondary to other eye disorders, unspecified eye, mild stage	365	Inclusion	Glaucoma
H40.50X2	Glaucoma secondary to other eye disorders, unspecified eye, moderate stage	365	Inclusion	Glaucoma
H40.50X3	Glaucoma secondary to other eye disorders, unspecified eye, severe stage	365	Inclusion	Glaucoma
H40.50X4	Glaucoma secondary to other eye disorders, unspecified eye, indeterminate stage	365	Inclusion	Glaucoma
H40.51	Glaucoma secondary to other eye disorders, right eye	365	Inclusion	Glaucoma
H40.51X0	Glaucoma secondary to other eye disorders, right eye, stage unspecified	365	Inclusion	Glaucoma
H40.51X1	Glaucoma secondary to other eye disorders, right eye, mild stage	365	Inclusion	Glaucoma
H40.51X2	Glaucoma secondary to other eye disorders, right eye, moderate stage	365	Inclusion	Glaucoma
H40.51X3	Glaucoma secondary to other eye disorders, right eye, severe stage	365	Inclusion	Glaucoma
H40.51X4	Glaucoma secondary to other eye disorders, right eye, indeterminate stage	365	Inclusion	Glaucoma
H40.52	Glaucoma secondary to other eye disorders, left eye	365	Inclusion	Glaucoma
H40.52X0	Glaucoma secondary to other eye disorders, left eye, stage unspecified	365	Inclusion	Glaucoma
H40.52X1	Glaucoma secondary to other eye disorders, left eye, mild stage	365	Inclusion	Glaucoma
H40.52X2	Glaucoma secondary to other eye disorders, left eye, moderate stage	365	Inclusion	Glaucoma
H40.52X3	Glaucoma secondary to other eye disorders, left eye, severe stage	365	Inclusion	Glaucoma
H40.52X4	Glaucoma secondary to other eye disorders, left eye, indeterminate stage	365	Inclusion	Glaucoma
H40.53	Glaucoma secondary to other eye disorders, bilateral	365	Inclusion	Glaucoma
H40.53X0	Glaucoma secondary to other eye disorders, bilateral, stage unspecified	365	Inclusion	Glaucoma
H40.53X1	Glaucoma secondary to other eye disorders, bilateral, mild stage	365	Inclusion	Glaucoma
H40.53X2	Glaucoma secondary to other eye disorders, bilateral, moderate stage	365	Inclusion	Glaucoma
H40.53X3	Glaucoma secondary to other eye disorders, bilateral, severe stage	365	Inclusion	Glaucoma
H40.53X4	Glaucoma secondary to other eye disorders, bilateral, indeterminate stage	365	Inclusion	Glaucoma
H40.6	Glaucoma secondary to drugs	365	Inclusion	Glaucoma
H40.60	Glaucoma secondary to drugs, unspecified eye	365	Inclusion	Glaucoma
H40.60X0	Glaucoma secondary to drugs, unspecified eye, stage unspecified	365	Inclusion	Glaucoma
H40.60X1	Glaucoma secondary to drugs, unspecified eye, mild stage	365	Inclusion	Glaucoma
H40.60X2	Glaucoma secondary to drugs, unspecified eye, moderate stage	365	Inclusion	Glaucoma
H40.60X3	Glaucoma secondary to drugs, unspecified eye, severe stage	365	Inclusion	Glaucoma
H40.60X4	Glaucoma secondary to drugs, unspecified eye, indeterminate stage	365	Inclusion	Glaucoma
H40.61	Glaucoma secondary to drugs, right eye	365	Inclusion	Glaucoma
H40.61X0	Glaucoma secondary to drugs, right eye, stage unspecified	365	Inclusion	Glaucoma
H40.61X1	Glaucoma secondary to drugs, right eye, mild stage	365	Inclusion	Glaucoma
H40.61X2	Glaucoma secondary to drugs, right eye, moderate stage	365	Inclusion	Glaucoma
H40.61X3	Glaucoma secondary to drugs, right eye, severe stage	365	Inclusion	Glaucoma
H40.61X4	Glaucoma secondary to drugs, right eye, indeterminate stage	365	Inclusion	Glaucoma
H40.62	Glaucoma secondary to drugs, left eye	365	Inclusion	Glaucoma
H40.62X0	Glaucoma secondary to drugs, left eye, stage unspecified	365	Inclusion	Glaucoma
H40.62X1	Glaucoma secondary to drugs, left eye, mild stage	365	Inclusion	Glaucoma
H40.62X2	Glaucoma secondary to drugs, left eye, moderate stage	365	Inclusion	Glaucoma
H40.62X3	Glaucoma secondary to drugs, left eye, severe stage	365	Inclusion	Glaucoma
H40.62X4	Glaucoma secondary to drugs, left eye, indeterminate stage	365	Inclusion	Glaucoma
H40.63	Glaucoma secondary to drugs, bilateral	365	Inclusion	Glaucoma
H40.63X0	Glaucoma secondary to drugs, bilateral, stage unspecified	365	Inclusion	Glaucoma
H40.63X1	Glaucoma secondary to drugs, bilateral, mild stage	365	Inclusion	Glaucoma
H40.63X2	Glaucoma secondary to drugs, bilateral, moderate stage	365	Inclusion	Glaucoma
H40.63X3	Glaucoma secondary to drugs, bilateral, severe stage	365	Inclusion	Glaucoma
H40.63X4	Glaucoma secondary to drugs, bilateral, indeterminate stage	365	Inclusion	Glaucoma
H40.8	Other glaucoma	365	Inclusion	Glaucoma
H40.81	Glaucoma with increased episcleral venous pressure	365	Inclusion	Glaucoma
H40.811	Glaucoma with increased episcleral venous pressure, right eye	365	Inclusion	Glaucoma
H40.812	Glaucoma with increased episcleral venous pressure, left eye	365	Inclusion	Glaucoma
H40.813	Glaucoma with increased episcleral venous pressure, bilateral	365	Inclusion	Glaucoma
H40.819	Glaucoma with increased episcleral venous pressure, unspecified eye	365	Inclusion	Glaucoma
H40.82	Hypersecretion glaucoma	365	Inclusion	Glaucoma
H40.821	Hypersecretion glaucoma, right eye	365	Inclusion	Glaucoma
H40.822	Hypersecretion glaucoma, left eye	365	Inclusion	Glaucoma
H40.823	Hypersecretion glaucoma, bilateral	365	Inclusion	Glaucoma
H40.829	Hypersecretion glaucoma, unspecified eye	365	Inclusion	Glaucoma
H40.83	Aqueous misdirection	365	Inclusion	Glaucoma
H40.831	Aqueous misdirection, right eye	365	Inclusion	Glaucoma
H40.832	Aqueous misdirection, left eye	365	Inclusion	Glaucoma
H40.833	Aqueous misdirection, bilateral	365	Inclusion	Glaucoma
H40.839	Aqueous misdirection, unspecified eye	365	Inclusion	Glaucoma
H40.84	Neovascular secondary angle closure glaucoma	366	Inclusion	Glaucoma
H40.841	…… right eye	367	Inclusion	Glaucoma
H40.842	…… left eye	368	Inclusion	Glaucoma
H40.843	 …… bilateral	369	Inclusion	Glaucoma
H40.849	…… unspecified eye	370	Inclusion	Glaucoma
H40.89	Other specified glaucoma	365	Inclusion	Glaucoma
H40.9	Unspecified glaucoma	365	Inclusion	Glaucoma
H42	Glaucoma in diseases classified elsewhere	365	Inclusion	Glaucoma
E08.3	Diabetes mellitus due to underlying condition with ophthalmic complications	249|250.7	Exclusion	Glaucoma
E08.31	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E08.311	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E08.319	Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E08.32	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E08.321	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E08.3211	Diabetes with mild nonp rtnop with macular edema, right eye	249|250.7	Exclusion	Glaucoma
E08.3212	Diabetes with mild nonp rtnop with macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3213	Diabetes with mild nonp rtnop with macular edema, bilateral	249|250.7	Exclusion	Glaucoma
E08.3219	Diabetes with mild nonp rtnop with macular edema, unsp	249|250.7	Exclusion	Glaucoma
E08.329	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E08.3291	Diabetes with mild nonp rtnop without macular edema, r eye	249|250.7	Exclusion	Glaucoma
E08.3292	Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3293	Diabetes with mild nonp rtnop without macular edema, bi	249|250.7	Exclusion	Glaucoma
E08.3299	Diabetes with mild nonp rtnop without macular edema, unsp	249|250.7	Exclusion	Glaucoma
E08.33	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E08.331	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E08.3311	Diabetes with moderate nonp rtnop with macular edema, r eye	249|250.7	Exclusion	Glaucoma
E08.3312	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3313	Diabetes with moderate nonp rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E08.3319	Diabetes with moderate nonp rtnop with macular edema, unsp	249|250.7	Exclusion	Glaucoma
E08.339	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E08.3391	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye	249|250.7	Exclusion	Glaucoma
E08.3392	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3393	Diabetes with moderate nonp rtnop without macular edema, bi	249|250.7	Exclusion	Glaucoma
E08.3399	Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye	249|250.7	Exclusion	Glaucoma
E08.34	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E08.341	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E08.3411	Diabetes with severe nonp rtnop with macular edema, r eye	249|250.7	Exclusion	Glaucoma
E08.3412	Diabetes with severe nonp rtnop with macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3413	Diabetes with severe nonp rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E08.3419	Diabetes with severe nonp rtnop with macular edema, unsp	249|250.7	Exclusion	Glaucoma
E08.349	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E08.3491	Diabetes with severe nonp rtnop without macular edema, r eye	249|250.7	Exclusion	Glaucoma
E08.3492	Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3493	Diabetes with severe nonp rtnop without macular edema, bi	249|250.7	Exclusion	Glaucoma
E08.3499	Diabetes with severe nonp rtnop without macular edema, unsp	249|250.7	Exclusion	Glaucoma
E08.35	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E08.351	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E08.3511	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye	249|250.7	Exclusion	Glaucoma
E08.3512	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3513	Diabetes with prolif diabetic rtnop with macular edema, bi	249|250.7	Exclusion	Glaucoma
E08.3519	Diabetes with prolif diabetic rtnop with macular edema, unsp	249|250.7	Exclusion	Glaucoma
E08.352	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula	249|250.7	Exclusion	Glaucoma
E08.3521	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye	249|250.7	Exclusion	Glaucoma
E08.3522	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye	249|250.7	Exclusion	Glaucoma
E08.3523	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral	249|250.7	Exclusion	Glaucoma
E08.3529	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye	249|250.7	Exclusion	Glaucoma
E08.353	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula	249|250.7	Exclusion	Glaucoma
E08.3531	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye	249|250.7	Exclusion	Glaucoma
E08.3532	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye	249|250.7	Exclusion	Glaucoma
E08.3533	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral	249|250.7	Exclusion	Glaucoma
E08.3539	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye	249|250.7	Exclusion	Glaucoma
E08.354	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment	249|250.7	Exclusion	Glaucoma
E08.3541	Diabetes with prolif diabetic rtnop with comb detach, r eye	249|250.7	Exclusion	Glaucoma
E08.3542	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye	249|250.7	Exclusion	Glaucoma
E08.3543	Diabetes with prolif diabetic rtnop with combined detach, bi	249|250.7	Exclusion	Glaucoma
E08.3549	Diabetes with prolif diabetic rtnop with comb detach, unsp	249|250.7	Exclusion	Glaucoma
E08.355	Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E08.3551	Diabetes with stable prolif diabetic retinopathy, right eye	249|250.7	Exclusion	Glaucoma
E08.3552	Diabetes with stable prolif diabetic retinopathy, left eye	249|250.7	Exclusion	Glaucoma
E08.3553	Diabetes with stable prolif diabetic retinopathy, bilateral	249|250.7	Exclusion	Glaucoma
E08.3559	Diabetes with stable prolif diabetic retinopathy, unsp	249|250.7	Exclusion	Glaucoma
E08.359	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E08.3591	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye	249|250.7	Exclusion	Glaucoma
E08.3592	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye	249|250.7	Exclusion	Glaucoma
E08.3593	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral	249|250.7	Exclusion	Glaucoma
E08.3599	Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye	249|250.7	Exclusion	Glaucoma
E08.36	Diabetes mellitus due to underlying condition with diabetic cataract	249|250.7	Exclusion	Glaucoma
E08.37	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment	249|250.7	Exclusion	Glaucoma
E08.37X1	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye	249|250.7	Exclusion	Glaucoma
E08.37X2	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye	249|250.7	Exclusion	Glaucoma
E08.37X3	Diabetes with diabetic macular edema, resolved fol trtmt, bi	249|250.7	Exclusion	Glaucoma
E08.37X9	Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye	249|250.7	Exclusion	Glaucoma
E08.39	Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication	249|250.7	Exclusion	Glaucoma
E09.3	Drug or chemical induced diabetes mellitus with ophthalmic complications	249|250.7	Exclusion	Glaucoma
E09.31	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E09.311	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E09.319	Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema	249|250.7	Exclusion	Glaucoma
E09.32	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy	249|250.7	Exclusion	Glaucoma
E09.321	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema	249|250.7	Exclusion	Glaucoma
E09.3211	Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye	249|250.7	Exclusion	Glaucoma
E09.3212	Drug/chem diab with mild nonp rtnop with mclr edema, l eye	249|250.7	Exclusion	Glaucoma
